	address_x	coord_x	address_y	coord_y	address	sub
905	Загородное шоссе, 9к1, Москва, Россия	(55.692709, 37.606595)	Голестан, Иран	(37.578935, 55.308428)	загородное шоссе,9к1,москва,россия	['москва']
906	Октябрьский переулок, 4, Починок, Смоленская область, Россия	(54.404185, 32.440968)	Йезд, Иран	(32.143242, 54.776948)	октябрьский переулок,4,починок,смоленская область,россия	['смоленская']
907	проспект 60-летия Октября, 164, Хабаровск, Россия	(48.48478, 135.107903)			проспект 60-летия октября,164,хабаровск,россия	['хабаровский']
908	Коммунистический проспект, 14, микрорайон Западный, Ростов-на-Дону, Россия	(47.208502, 39.639123)	Физулинский район, Азербайджан	(39.591867, 47.353415)	коммунистический проспект,14,микрорайон западный,ростов-на-дону,россия	['ростовская']
909	деревня Иваньково, Галичский район, Костромская область, Россия	(58.218126, 42.128714)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	деревня иваньково,галичский район,костромская область,россия	['костромская']
910	деревня Красильниково, Галичский район, Костромская область, Россия	(58.351621, 42.552934)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	деревня красильниково,галичский район,костромская область,россия	['костромская']
911	Сиреневый бульвар, 3, Псков, Россия	(57.836641, 28.339341)	Керман, Иран	(29.709026, 57.196561)	сиреневый бульвар,3,псков,россия	['псковская']
912	улица Леонардо Гарсиа, рабочий посёлок Навля, Навлинское городское поселение, Навлинский район, Брянская область, Россия	(52.825493, 34.497562)	Семнан, Иран	(35.338614, 54.724559)	улица леонардо гарсиа,рабочий поселок навля,навлинское городское поселение,навлинский район,брянская область,россия	['брянская']
913	улица 60-летия Октября, 28А, посёлок городского типа Черноморское, Республика Крым, Россия	(45.5106, 32.703563)	мухафаза Васит, Ирак	(32.687252, 45.719208)	улица 60-летия октября,28а,поселок городского типа черноморское,республика крым,россия	['крым']
914	Морская улица, 8, Ялта, Республика Крым, Россия	(44.494065, 34.16408)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	морская улица,8,ялта,республика крым,россия	['крым']
915	улица Ленина, 19, Сланцы, Сланцевское городское поселение, Ленинградская область, Россия	(59.118183, 28.093589)	Систан и Белуджистан, Иран	(27.687912, 60.721631)	улица ленина,19,сланцы,сланцевское городское поселение,ленинградская область,россия	['ленинградская']
916	улица Ленина, 19, Сланцы, Сланцевское городское поселение, Ленинградская область, Россия	(59.118183, 28.093589)	Систан и Белуджистан, Иран	(27.687912, 60.721631)	улица ленина,19,сланцы,сланцевское городское поселение,ленинградская область,россия	['ленинградская']
917	проспект Станке Димитрова, 6, Брянск, Россия	(53.250168, 34.339494)	пески, Иран	(34.006097, 53.698422)	проспект станке димитрова,6,брянск,россия	['брянская']
918	Домодедовская улица, 11к1, Москва, Россия	(55.611124, 37.709344)	Голестан, Иран	(37.578935, 55.308428)	домодедовская улица,11к1,москва,россия	['москва']
919	улица Крылова, 15, Новосибирск, Россия	(55.041292, 82.926547)	Северный Ледовитый океан	(81.41805, 0.202202)	улица крылова,15,новосибирск,россия	['новосибирская']
920	улица Карла Маркса, поселок городского типа Сусанино, Сусанинский район, Костромская область, Россия	(58.151412, 41.599741)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	улица карла маркса,поселок городского типа сусанино,сусанинский район,костромская область,россия	['костромская']
921	улица Веры Волошиной, 29, Кемерово, Россия	(55.312609, 86.083901)			улица веры волошиной,29,кемерово,россия	['кемеровская']
922	улица Свободы, 75, Самара, Россия	(53.212593, 50.239181)	Сырымский район, Западно-Казахстанская область, Казахстан	(50.325986, 52.678107)	улица свободы,75,самара,россия	['самарская']
923	улица Гагарина, 3, Судак, Республика Крым, Россия	(44.850564, 34.976831)	мухафаза Салах-эд-Дин, Ирак	(34.403428, 43.59012)	улица гагарина,3,судак,республика крым,россия	['крым']
924	Рыбинская улица, 53/38, Ярославль, Россия	(57.62479, 39.849491)	Ахалский велаят, Туркменистан	(38.687046, 58.900314)	рыбинская улица,53/38,ярославль,россия	['ярославская']
925	Советская улица, 7к4, Екатеринбург, Свердловская область, Россия	(56.853065, 60.627649)	Чердынский городской округ, Пермский край, Россия	(60.966918, 56.710913)	чердынский городской округ,пермский край,россия	['пермский', 'свердловская']
926	Промышленная улица, село Петровка, Петровское сельское поселение, Красногвардейский район, Республика Крым, Россия	(45.505035, 34.28626)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	промышленная улица,село петровка,петровское сельское поселение,красногвардейский район,республика крым,россия	['крым']
927	Кремлёвская улица, 41, Йошкар-Ола, Республика Марий Эл, Россия	(56.641698, 47.877752)	Байганинский район, Актюбинская область, Казахстан	(47.436554, 56.526355)	кремлевская улица,41,йошкар-ола,республика марий эл,россия	['марий эл']
928	Советская улица, 62, село Сергиевск, Сергиевский район, Самарская область, Россия	(53.940091, 51.165038)	Чингирлауский район, Западно-Казахстанская область, Казахстан	(50.64009, 53.965105)	советская улица,62,село сергиевск,сергиевский район,самарская область,россия	['самарская']
929	село Червоное, Митрофановское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.473158, 34.66711)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	село червоное,митрофановское сельское поселение,нижнегорский район,республика крым,россия	['крым']
930	Садовая улица, село Желябовка, Нижнегорский район, Республика Крым, Россия	(45.394441, 34.75218)	мухафаза Сулеймания, Ирак	(35.596658, 45.345096)	садовая улица,село желябовка,нижнегорский район,республика крым,россия	['крым']
931	Новогригорьевское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.445184, 34.592208)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	новогригорьевское сельское поселение,нижнегорский район,республика крым,россия	['крым']
932	улица Молодогвардейцев, 7, Воронеж, Россия	(51.650935, 39.129114)	Каспийское море	(41.720703, 50.824765)	улица молодогвардейцев,7,воронеж,россия	['воронежская']
933	Красная улица, 33/1, станица Тбилисская, Тбилисский район, Краснодарский край, Россия	(45.357752, 40.195818)	озеро Севан, Гехаркуникская область, Армения	(40.357191, 45.328711)	красная улица,33/1,станица тбилисская,тбилисский район,краснодарский край,россия	['краснодарский']
934	Успенский проспект, 12, Верхняя Пышма, Свердловская область, Россия	(56.970751, 60.574693)	Чердынский городской округ, Пермский край, Россия	(60.966918, 56.710913)	чердынский городской округ,пермский край,россия	['пермский', 'свердловская']
935	улица Ленина, 261, посёлок городского типа Белоярский, Свердловская область, Россия	(56.761373, 61.412866)	Чердынский городской округ, Пермский край, Россия	(60.966918, 56.710913)	чердынский городской округ,пермский край,россия	['пермский', 'свердловская']
936	улица Лазо, 13, Сызрань, Самарская область, Россия	(53.107709, 48.420568)	пески, Кызылкогинский район, Атырауская область, Казахстан	(48.588124, 53.395016)	улица лазо,13,сызрань,самарская область,россия	['самарская']
937	село Буревестник, Митрофановское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.44538, 34.651039)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	село буревестник,митрофановское сельское поселение,нижнегорский район,республика крым,россия	['крым']
938	село Изобильное, Нижнегорский район, Республика Крым, Россия	(45.569964, 34.945255)	мухафаза Сулеймания, Ирак	(35.596658, 45.345096)	село изобильное,нижнегорский район,республика крым,россия	['крым']
939	улица 50-летия Комсомола, 20, Кинешма, Ивановская область, Россия	(57.453214, 42.13043)	Сарыкамышское озеро	(41.938488, 57.411366)	улица 50-летия комсомола,20,кинешма,ивановская область,россия	['ивановская']
940	село Двуречье, Акимовское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.484559, 34.802315)	мухафаза Сулеймания, Ирак	(35.596658, 45.345096)	село двуречье,акимовское сельское поселение,нижнегорский район,республика крым,россия	['крым']
941	Новая улица, село Пены, Жемчужинское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.254596, 34.646359)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	новая улица,село пены,жемчужинское сельское поселение,нижнегорский район,республика крым,россия	['крым']
942	Набережная улица, село Приречное, Жемчужинское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.275315, 34.708657)	мухафаза Сулеймания, Ирак	(35.596658, 45.345096)	набережная улица,село приречное,жемчужинское сельское поселение,нижнегорский район,республика крым,россия	['крым']
943	Полевая улица, село Линейное, Нижнегорское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.480565, 34.717155)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	полевая улица,село линейное,нижнегорское сельское поселение,нижнегорский район,республика крым,россия	['крым']
944	село Ломоносово, Желябовское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.402055, 34.685139)	мухафаза Сулеймания, Ирак	(35.596658, 45.345096)	село ломоносово,желябовское сельское поселение,нижнегорский район,республика крым,россия	['крым']
945	улица Защитников Родины, 2А, микрорайон Придонской, Советский район, Воронеж, Россия	(51.682798, 39.076796)	Каспийское море	(41.720703, 50.824765)	улица защитников родины,2а,микрорайон придонской,советский район,воронеж,россия	['воронежская']
946	улица Шишкова, 63, Воронеж, Россия	(51.701049, 39.195122)	Каспийское море	(41.720703, 50.824765)	улица шишкова,63,воронеж,россия	['воронежская']
947	посёлок городского типа Октябрьское, Красногвардейский район, Республика Крым, Россия	(45.292348, 34.131911)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	поселок городского типа октябрьское,красногвардейский район,республика крым,россия	['крым']
948	58К-161, Псковская область, Россия	(56.33564, 30.979454)	Керман, Иран	(29.709026, 57.196561)	58к-161,псковская область,россия	['псковская']
949	улица Володарского, 59, Ярославль, Россия	(57.629499, 39.863244)	Ахалский велаят, Туркменистан	(38.687046, 58.900314)	улица володарского,59,ярославль,россия	['ярославская']
950	Октябрьская улица, село Усть-Большерецк, Усть-Большерецкий район, Камчатский край, Россия	(52.825357, 156.28424)			октябрьская улица,село усть-большерецк,усть-большерецкий район,камчатский край,россия	['камчатский']
951	Первомайская улица, 45, станица Новопашковская, Крыловский район, Краснодарский край, Россия	(46.408469, 40.077959)	Тертерский район, Азербайджан	(40.226988, 46.716671)	первомайская улица,45,станица новопашковская,крыловский район,краснодарский край,россия	['краснодарский']
952	Шереметевский проспект, 11, Иваново, Россия	(56.999372, 40.98338)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	шереметевский проспект,11,иваново,россия	['ивановская']
953	село Шевченковское, Крыловский район, Краснодарский край, Россия	(46.288522, 40.266318)	Кельбаджарский район, Азербайджан	(40.082133, 46.124717)	село шевченковское,крыловский район,краснодарский край,россия	['краснодарский']
954	Ленинградская улица, 25, Хабаровск, Россия	(48.486458, 135.089066)			ленинградская улица,25,хабаровск,россия	['хабаровский']
955	улица Орджоникидзе, 49, станица Крыловская, Крыловский район, Краснодарский край, Россия	(46.32069, 39.969299)	Кельбаджарский район, Азербайджан	(40.082133, 46.124717)	улица орджоникидзе,49,станица крыловская,крыловский район,краснодарский край,россия	['краснодарский']
956	улица Чкалова, станица Крыловская, Крыловский район, Краснодарский край, Россия	(46.305215, 39.986151)	Кельбаджарский район, Азербайджан	(40.082133, 46.124717)	улица чкалова,станица крыловская,крыловский район,краснодарский край,россия	['краснодарский']
957	улица Советов, 19, Кондопога, Кондопожское городское поселение, Республика Карелия, Россия	(62.20506, 34.267898)	провинция Герат, Афганистан	(34.093545, 62.461793)	улица советов,19,кондопога,кондопожское городское поселение,республика карелия,россия	['карелия']
958	Комсомольская улица, 37, подъезд 2, Хабаровск, Россия	(48.468032, 135.066671)			комсомольская улица,37,подъезд 2,хабаровск,россия	['хабаровский']
959	Коммунистическая улица, 78, Сыктывкар, Республика Коми, Россия	(61.659573, 50.796558)	Айтекебийский район, Актюбинская область, Казахстан	(50.202229, 61.122926)	коммунистическая улица,78,сыктывкар,республика коми,россия	['коми']
960	Волгоградская улица, 6, Кемерово, Россия	(55.352506, 86.149011)			волгоградская улица,6,кемерово,россия	['кемеровская']
961	проспект Ленина, 128А, Кемерово, Россия	(55.348437, 86.154589)			проспект ленина,128а,кемерово,россия	['кемеровская']
962	Новогодняя улица, 15, Кемерово, Россия	(55.52037, 86.101148)			новогодняя улица,15,кемерово,россия	['кемеровская']
963	Инициативная улица, 102, Кемерово, Россия	(55.405991, 86.046648)			инициативная улица,102,кемерово,россия	['кемеровская']
964	Черноморская улица, 38Б/1, Кемерово, Россия	(55.419299, 86.085715)			черноморская улица,38б/1,кемерово,россия	['кемеровская']
965	Предзаводская улица, 1А, Кемерово, Россия	(55.346491, 86.007176)			предзаводская улица,1а,кемерово,россия	['кемеровская']
966	Новогодняя улица, 2, Кемерово, Россия	(55.519768, 86.10493)			новогодняя улица,2,кемерово,россия	['кемеровская']
967	Космическая улица, 25, Кемерово, Россия	(55.317164, 86.088033)			космическая улица,25,кемерово,россия	['кемеровская']
968	бульвар Строителей, 42Б, Кемерово, Россия	(55.340179, 86.174208)			бульвар строителей,42б,кемерово,россия	['кемеровская']
969	Молодёжный проспект, 9Б, Кемерово, Россия	(55.324566, 86.123669)			молодежный проспект,9б,кемерово,россия	['кемеровская']
970	улица Марата, Кемерово, Россия	(55.322788, 85.950932)			улица марата,кемерово,россия	['кемеровская']
971	поселок Юбилейный, Юбилейнинское сельское поселение, Хвойнинский район, Новгородская область, Россия	(58.839421, 34.996693)	Хорасан-Резави, Иран	(35.67632, 59.144467)	поселок юбилейный,юбилейнинское сельское поселение,хвойнинский район,новгородская область,россия	['новгородская']
972	проспект Расула Гамзатова, 43, Махачкала, Республика Дагестан, Россия	(42.979538, 47.513054)	Семиченское сельское поселение, Котельниковский район, Волгоградская область, Россия	(47.574886, 43.009836)	семиченское сельское поселение,котельниковский район,волгоградская область,россия	['волгоградская', 'дагестан']
973	улица 40-летия Победы, 6, Челябинск, Россия	(55.191325, 61.286653)	Усть-Куломский район, Республика Коми, Россия	(61.714802, 54.44149)	усть-куломский район,республика коми,россия	['коми', 'челябинская']
974	улица Победы, 15, Отрадный, Самарская область, Россия	(53.376109, 51.342788)	Бурлинский район, Западно-Казахстанская область, Казахстан	(51.214419, 53.027937)	улица победы,15,отрадный,самарская область,россия	['самарская']
975	улица Гагарина, 27, посёлок Восход, Новокубанский район, Краснодарский край, Россия	(45.230093, 40.97145)	Тавушская область, Армения	(40.906896, 45.218874)	улица гагарина,27,поселок восход,новокубанский район,краснодарский край,россия	['краснодарский']
976	Октябрьская улица, 13, село Пречистое, Духовщинский район, Смоленская область, Россия	(55.513112, 32.370198)	Йезд, Иран	(32.143242, 54.776948)	октябрьская улица,13,село пречистое,духовщинский район,смоленская область,россия	['смоленская']
977	Смоленская улица, 60, Духовщина, Смоленская область, Россия	(55.192507, 32.405107)	Йезд, Иран	(32.143242, 54.776948)	смоленская улица,60,духовщина,смоленская область,россия	['смоленская']
978	улица Мичурина, 42, село Ковалевское, Новокубанский район, Краснодарский край, Россия	(45.16437, 41.000646)	Тавушская область, Армения	(40.906896, 45.218874)	улица мичурина,42,село ковалевское,новокубанский район,краснодарский край,россия	['краснодарский']
979	Школьная улица, 22, поселок Северо-Кавказский, Новокубанский район, Краснодарский край, Россия	(45.146331, 41.064911)	Ջողասի ջրամբար	(41.062117, 45.138439)	школьная улица,22,поселок северо-кавказский,новокубанский район,краснодарский край,россия	['краснодарский']
980	улица Терешковой, 25, Оренбург, Россия	(51.772702, 55.101716)	Заинский район, Республика Татарстан, Россия	(55.271846, 52.075229)	заинский район,республика татарстан,россия	['оренбургская', 'татарстан']
981	Центральная улица, деревня Рыбки, Сафоновский район, Смоленская область, Россия	(55.147294, 32.986524)	Йезд, Иран	(32.143242, 54.776948)	центральная улица,деревня рыбки,сафоновский район,смоленская область,россия	['смоленская']
982	Придорожная улица, 17, деревня Старое Село, Сафоновский район, Смоленская область, Россия	(55.321728, 33.808967)	Исфахан, Иран	(33.330854, 52.690467)	придорожная улица,17,деревня старое село,сафоновский район,смоленская область,россия	['смоленская']
983	Пролетарская улица, деревня Пушкино, Сафоновский район, Смоленская область, Россия	(55.082658, 33.068297)	Йезд, Иран	(32.143242, 54.776948)	пролетарская улица,деревня пушкино,сафоновский район,смоленская область,россия	['смоленская']
984	Днепровская улица, 23, деревня Николо-Погорелое, Сафоновский район, Смоленская область, Россия	(55.235842, 33.488224)	Исфахан, Иран	(33.330854, 52.690467)	днепровская улица,23,деревня николо-погорелое,сафоновский район,смоленская область,россия	['смоленская']
985	Центральная улица, 24, деревня Казулино, Сафоновский район, Смоленская область, Россия	(55.33129, 33.535134)	Исфахан, Иран	(33.330854, 52.690467)	центральная улица,24,деревня казулино,сафоновский район,смоленская область,россия	['смоленская']
986	Луговая улица, деревня Дроздово, Сафоновский район, Смоленская область, Россия	(55.196094, 33.123876)	Йезд, Иран	(32.143242, 54.776948)	луговая улица,деревня дроздово,сафоновский район,смоленская область,россия	['смоленская']
987	село Васильевское, Сафоновский район, Смоленская область, Россия	(55.355843, 33.216654)	пески, Иран	(33.448079, 55.851729)	село васильевское,сафоновский район,смоленская область,россия	['смоленская']
988	деревня Богдановщина, Клуб, Сафоновский район, Смоленская область, Россия	(55.27198, 33.664222)	Исфахан, Иран	(33.330854, 52.690467)	деревня богдановщина,клуб,сафоновский район,смоленская область,россия	['смоленская']
989	Молодёжная улица, 23, деревня Беленино, Сафоновский район, Смоленская область, Россия	(55.221183, 33.327641)	Исфахан, Иран	(33.330854, 52.690467)	молодежная улица,23,деревня беленино,сафоновский район,смоленская область,россия	['смоленская']
990	деревня Кононово, Сафоновский район, Смоленская область, Россия	(55.158683, 33.792276)	солончаки, Иран	(34.634944, 55.067877)	деревня кононово,сафоновский район,смоленская область,россия	['смоленская']
991	Советская улица, 71, Сызрань, Самарская область, Россия	(53.154659, 48.471548)	пески, Кызылкогинский район, Атырауская область, Казахстан	(48.588124, 53.395016)	советская улица,71,сызрань,самарская область,россия	['самарская']
992	улица 9 Января, 20/46, Боровичи, Боровичское городское поселение, Новгородская область, Россия	(58.388544, 33.910243)	Южный Хорасан, Иран	(32.922924, 58.345506)	улица 9 января,20/46,боровичи,боровичское городское поселение,новгородская область,россия	['новгородская']
993	село Лесное, Сафоновский район, Смоленская область, Россия	(55.262932, 33.161003)	Йезд, Иран	(32.143242, 54.776948)	село лесное,сафоновский район,смоленская область,россия	['смоленская']
994	Молодёжная улица, деревня Игнатково, Сафоновский район, Смоленская область, Россия	(55.079921, 33.659946)	Исфахан, Иран	(33.330854, 52.690467)	молодежная улица,деревня игнатково,сафоновский район,смоленская область,россия	['смоленская']
995	Советский переулок, 3, поселок Вадино, Сафоновский район, Смоленская область, Россия	(55.257596, 33.248059)	Йезд, Иран	(32.143242, 54.776948)	советский переулок,3,поселок вадино,сафоновский район,смоленская область,россия	['смоленская']
996	Центральная улица, деревня Прудки, Сафоновский район, Смоленская область, Россия	(55.180814, 33.503459)	Исфахан, Иран	(33.330854, 52.690467)	центральная улица,деревня прудки,сафоновский район,смоленская область,россия	['смоленская']
997	Центральная улица, посёлок Зимница, Сафоновский район, Смоленская область, Россия	(55.176049, 33.68632)	Исфахан, Иран	(33.330854, 52.690467)	центральная улица,поселок зимница,сафоновский район,смоленская область,россия	['смоленская']
998	Пушкинская улица, 3, рабочий посёлок Пушкинские Горы, Пушкиногорский район, Псковская область, Россия	(57.020854, 28.915278)	Керман, Иран	(29.709026, 57.196561)	пушкинская улица,3,рабочий поселок пушкинские горы,пушкиногорский район,псковская область,россия	['псковская']
999	Молодёжная улица, 5, посёлок Дурово, Сафоновский район, Смоленская область, Россия	(55.149841, 33.34894)	Исфахан, Иран	(33.330854, 52.690467)	молодежная улица,5,поселок дурово,сафоновский район,смоленская область,россия	['смоленская']
1000	Молодёжная улица, 9, поселок Вышегор, Сафоновский район, Смоленская область, Россия	(55.122133, 33.048624)	Йезд, Иран	(32.143242, 54.776948)	молодежная улица,9,поселок вышегор,сафоновский район,смоленская область,россия	['смоленская']
1001	Октябрьская улица, 11, деревня Бараново, Сафоновский район, Смоленская область, Россия	(55.120027, 33.278242)	Исфахан, Иран	(33.330854, 52.690467)	октябрьская улица,11,деревня бараново,сафоновский район,смоленская область,россия	['смоленская']
1002	1-я Ленинская улица, 3, посёлок Издешково, Сафоновский район, Смоленская область, Россия	(55.143332, 33.619872)	Исфахан, Иран	(33.330854, 52.690467)	1-я ленинская улица,3,поселок издешково,сафоновский район,смоленская область,россия	['смоленская']
1003	улица Леушина, посёлок городского типа Нагорск, Нагорский район, Кировская область, Россия	(59.315556, 50.799765)	Домбаровский район, Оренбургская область, Россия	(50.784728, 59.307826)	домбаровский район,оренбургская область,россия	['кировская', 'оренбургская']
1004	1-й микрорайон, 31, Сафоново, Смоленская область, Россия	(55.096626, 33.247628)	Исфахан, Иран	(33.330854, 52.690467)	1-й микрорайон,31,сафоново,смоленская область,россия	['смоленская']
1005	Ленинградская улица, 16, поселок Горный, Сафоново, Смоленская область, Россия	(55.155072, 33.233336)	Йезд, Иран	(32.143242, 54.776948)	ленинградская улица,16,поселок горный,сафоново,смоленская область,россия	['смоленская']
1006	улица Ковалёва, 1Б, Сафоново, Смоленская область, Россия	(55.10307, 33.227515)	Йезд, Иран	(32.143242, 54.776948)	улица ковалева,1б,сафоново,смоленская область,россия	['смоленская']
1007	проспект Бумажников, 36, Сыктывкар, Республика Коми, Россия	(61.783941, 50.744312)	Айтекебийский район, Актюбинская область, Казахстан	(50.202229, 61.122926)	проспект бумажников,36,сыктывкар,республика коми,россия	['коми']
1008	улица Строителей, 19, Костомукша, Республика Карелия, Россия	(64.572042, 30.56242)	провинция Гильменд, Афганистан	(30.991974, 64.142649)	улица строителей,19,костомукша,республика карелия,россия	['карелия']
1009	1-й микрорайон, 12Б, Сафоново, Смоленская область, Россия	(55.09302, 33.247754)	Исфахан, Иран	(33.330854, 52.690467)	1-й микрорайон,12б,сафоново,смоленская область,россия	['смоленская']
1010	село Бахметьево, Богородицкий район, Тульская область, Россия	(53.668382, 38.423981)	Каспийское море	(41.720703, 50.824765)	село бахметьево,богородицкий район,тульская область,россия	['тульская']
1011	село Садовое, Нижнегорский район, Республика Крым, Россия	(45.308045, 34.65271)	мухафаза Сулеймания, Ирак	(35.596658, 45.345096)	село садовое,нижнегорский район,республика крым,россия	['крым']
1012	село Ястребки, Дрофинское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.293946, 34.573945)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	село ястребки,дрофинское сельское поселение,нижнегорский район,республика крым,россия	['крым']
1013	улица Ленина, село Владиславовка, Новогригорьевское сельское поселение, Нижнегорский район, Республика Крым, Россия	(45.468791, 34.596933)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	улица ленина,село владиславовка,новогригорьевское сельское поселение,нижнегорский район,республика крым,россия	['крым']
1014	Красногвардейская улица, 35, Сафоново, Смоленская область, Россия	(55.106701, 33.244026)	Исфахан, Иран	(33.330854, 52.690467)	красногвардейская улица,35,сафоново,смоленская область,россия	['смоленская']
1015	улица Гагарина, 18, Екатеринбург, Свердловская область, Россия	(56.8423, 60.645148)	Чердынский городской округ, Пермский край, Россия	(60.966918, 56.710913)	чердынский городской округ,пермский край,россия	['пермский', 'свердловская']
1016	посёлок Волжский Утёс, Шигонский район, Самарская область, Россия	(53.376641, 49.090388)	Акжаикский район, Западно-Казахстанская область, Казахстан	(49.599084, 51.521813)	поселок волжский утес,шигонский район,самарская область,россия	['самарская']
1017	Ленинградская улица, 68Б, село Новодевичье, Шигонский район, Самарская область, Россия	(53.607794, 48.841582)	Кызылкогинский район, Атырауская область, Казахстан	(48.282786, 53.668751)	ленинградская улица,68б,село новодевичье,шигонский район,самарская область,россия	['самарская']
1018	улица Ленина, 58В, село Усолье, Шигонский район, Самарская область, Россия	(53.392989, 49.058875)	Акжаикский район, Западно-Казахстанская область, Казахстан	(49.599084, 51.521813)	улица ленина,58в,село усолье,шигонский район,самарская область,россия	['самарская']
1019	Советская улица, 45, село Малячкино, Шигонский район, Самарская область, Россия	(53.390492, 48.591616)	пески, Кызылкогинский район, Атырауская область, Казахстан	(48.588124, 53.395016)	советская улица,45,село малячкино,шигонский район,самарская область,россия	['самарская']
1020	Советская улица, 131, село Шигоны, Самарская область, Россия	(53.389091, 48.673776)	пески, Кызылкогинский район, Атырауская область, Казахстан	(48.588124, 53.395016)	советская улица,131,село шигоны,самарская область,россия	['самарская']
1021	улица Набат, 5, исторический район Запсковье, Псков, Россия	(57.827916, 28.329945)	Керман, Иран	(29.709026, 57.196561)	улица набат,5,исторический район запсковье,псков,россия	['псковская']
1022	улица Ербанова, 4, Улан-Удэ, Республика Бурятия, Россия	(51.832733, 107.581637)			улица ербанова,4,улан-удэ,республика бурятия,россия	['бурятия']
1023	улица Антикайнена, 13, Костомукша, Республика Карелия, Россия	(64.588663, 30.607416)	провинция Гильменд, Афганистан	(30.991974, 64.142649)	улица антикайнена,13,костомукша,республика карелия,россия	['карелия']
1024	Центральная улица, село Байдеряково, Шигонский район, Самарская область, Россия	(53.453693, 48.546198)	пески, Кызылкогинский район, Атырауская область, Казахстан	(48.588124, 53.395016)	центральная улица,село байдеряково,шигонский район,самарская область,россия	['самарская']
1025	улица Гагарина, 14, поселок Пионерский, Шигонский район, Самарская область, Россия	(53.34658, 48.654184)	пески, Кызылкогинский район, Атырауская область, Казахстан	(48.588124, 53.395016)	улица гагарина,14,поселок пионерский,шигонский район,самарская область,россия	['самарская']
1026	Лесная улица, село Кяхта, Шигонский район, Самарская область, Россия	(53.480329, 48.741923)	пески, Кызылкогинский район, Атырауская область, Казахстан	(48.588124, 53.395016)	лесная улица,село кяхта,шигонский район,самарская область,россия	['самарская']
1027	бульвар Строителей, 32, Кемерово, Россия	(55.344321, 86.171055)			бульвар строителей,32,кемерово,россия	['кемеровская']
1028	улица Чуркиных, деревня Новые Батеки, Смоленский район, Смоленская область, Россия	(54.785205, 31.842267)	Йезд, Иран	(32.143242, 54.776948)	улица чуркиных,деревня новые батеки,смоленский район,смоленская область,россия	['смоленская']
1029	улица Свободы, поселок городского типа Воротынец, Воротынский район, Нижегородская область, Россия	(56.059569, 45.857226)	Бейнеуский район, Мангистауская область, Казахстан	(45.542455, 55.022961)	улица свободы,поселок городского типа воротынец,воротынский район,нижегородская область,россия	['нижегородская']
